+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
|        13       |  50  |        39       |   25  | 3  |      True      |        8         |  1.9073486328125e-05   |  0.0   |
|        13       |  50  |        39       |   50  | 6  |     False      |       233        | 5.507469177246094e-05  |  0.0   |
|        13       |  50  |        39       |   75  | 9  |     False      |       233        | 8.916854858398438e-05  |  0.0   |
|        13       |  75  |        58       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        13       |  75  |        58       |   25  | 3  |      True      |        6         |  1.9073486328125e-05   |  0.0   |
|        13       |  75  |        58       |   50  | 6  |     False      |       267        |  5.91278076171875e-05  |  0.0   |
|        13       |  75  |        58       |   75  | 9  |     False      |       267        | 9.799003601074219e-05  |  0.0   |
|        14       | 12.5 |        11       |   12  | 1  |     False      |        1         | 1.0967254638671875e-05 |  0.0   |
|        14       | 12.5 |        11       |   25  | 3  |     False      |       154        | 3.409385681152344e-05  |  0.0   |
|        14       | 12.5 |        11       |   50  | 7  |     False      |       154        | 5.6743621826171875e-05 |  0.0   |
|        14       | 12.5 |        11       |   75  | 10 |     False      |       154        | 7.891654968261719e-05  |  0.0   |
|        14       |  25  |        23       |   12  | 1  |     False      |        1         | 9.059906005859375e-06  |  0.0   |
|        14       |  25  |        23       |   25  | 3  |      True      |        71        | 2.384185791015625e-05  |  0.0   |
|        14       |  25  |        23       |   50  | 7  |     False      |       223        | 5.5789947509765625e-05 |  0.0   |
|        14       |  25  |        23       |   75  | 10 |     False      |       223        | 8.702278137207031e-05  |  0.0   |
|        14       |  50  |        46       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        14       |  50  |        46       |   25  | 3  |      True      |        8         | 1.4066696166992188e-05 |  0.0   |
|        14       |  50  |        46       |   50  | 7  |     False      |       259        |  5.7220458984375e-05   |  0.0   |
