Nodes,Percentagem,Edges,Different_k,Basic_Operations,Time,Memory
98,25,1051,4,3080,0.002689838409423828,0.0
98,50,1883,6,23747,0.018896102905273438,0.0
98,75,2478,7,140697,0.11101794242858887,10.96875
99,12,548,2,920,0.0011970996856689453,0.0
99,25,1058,4,3102,0.002691030502319336,0.0
99,50,1909,6,23062,0.018378257751464844,0.0
99,75,2600,7,176384,0.14223575592041016,0.0
100,12,559,2,989,0.001405954360961914,0.0
100,25,1118,3,3434,0.002935171127319336,0.0
100,50,1935,6,22389,0.018126249313354492,0.0
100,75,2629,7,177766,0.14235591888427734,0.0
101,12,570,2,1075,0.001470327377319336,0.0
101,25,1129,4,3261,0.0028030872344970703,0.0
101,50,1987,5,24261,0.019604921340942383,0.0
101,75,2704,7,171918,0.14544296264648438,0.0
102,12,586,3,1057,0.001455068588256836,0.0
102,25,1126,4,3557,0.0030870437622070312,0.0
102,50,2028,6,28114,0.022457122802734375,0.0
102,75,2733,7,193302,0.14963507652282715,0.0
103,12,592,2,1032,0.001386880874633789,0.0
103,25,1171,4,3750,0.003208160400390625,0.0
103,50,2058,6,27242,0.02205491065979004,0.0
103,75,2797,7,220320,0.1868441104888916,0.0
104,12,599,2,1071,0.0015361309051513672,0.0
104,25,1184,4,3659,0.0031778812408447266,0.0
104,50,2100,6,30777,0.024420738220214844,9.796875
104,75,2830,7,195498,0.15576505661010742,8.796875
105,12,614,3,1125,0.0016970634460449219,0.0
105,25,1203,4,4010,0.0034749507904052734,0.0
105,50,2149,6,28831,0.023988008499145508,0.0
105,75,2858,7,185595,0.1576979160308838,0.0
106,12,636,3,1232,0.0016450881958007812,0.0
106,25,1222,4,3624,0.0031120777130126953,0.0
106,50,2203,6,31705,0.02541327476501465,0.0
106,75,2957,7,236870,0.190687894821167,0.0
107,12,647,3,1240,0.0018091201782226562,0.0
107,25,1251,4,3666,0.0031888484954833984,0.0
107,50,2250,6,36516,0.029360055923461914,0.0
107,75,2949,7,200855,0.17277312278747559,0.0
108,12,642,3,1105,0.001728057861328125,0.0
108,25,1286,3,4440,0.003843069076538086,0.0
108,50,2251,7,30847,0.025230884552001953,0.0
108,75,3009,7,222070,0.1864488124847412,28.90625
109,12,667,3,1203,0.0019268989562988281,0.265625
109,25,1301,4,4256,0.004027128219604492,0.375
109,50,2324,6,34572,0.02841019630432129,1.28125
109,75,3155,8,298681,0.2491898536682129,0.0
110,12,672,2,1223,0.0018699169158935547,0.0
110,25,1319,4,4348,0.003844022750854492,0.0
110,50,2349,6,34907,0.028329849243164062,0.0
110,75,3183,8,304999,0.2416372299194336,0.0
111,12,691,2,1217,0.0019490718841552734,0.0
111,25,1349,4,4331,0.012288093566894531,0.0
111,50,2387,6,35766,0.02924799919128418,0.0
111,75,3223,9,304104,0.2396080493927002,0.0
112,12,711,3,1275,0.0018661022186279297,0.0
112,25,1363,4,4465,0.0037949085235595703,0.0
112,50,2441,6,36613,0.029484033584594727,0.0
112,75,3290,8,304720,0.25361084938049316,12.5625
113,12,724,3,1318,0.0019550323486328125,0.0
113,25,1394,4,4458,0.0038251876831054688,0.0
113,50,2492,6,42131,0.034242868423461914,0.0
113,75,3326,7,288279,0.22640371322631836,0.0
114,12,740,2,1355,0.0019598007202148438,0.0
114,25,1428,4,5094,0.012338876724243164,0.0
114,50,2501,6,37521,0.0304410457611084,0.0
114,75,3368,7,287389,0.22967123985290527,0.0
115,12,728,3,1181,0.0018181800842285156,0.0
115,25,1420,4,4691,0.004029989242553711,0.0
115,50,2576,6,40861,0.03316307067871094,0.0
115,75,3491,7,379878,0.3173980712890625,0.0
116,12,748,3,1343,0.002235889434814453,0.0
116,25,1488,4,5089,0.004392862319946289,0.0
116,50,2629,6,43111,0.03474998474121094,58.34375
116,75,3564,9,411344,0.33968305587768555,2.578125
117,12,763,2,1360,0.0023500919342041016,0.03125
117,25,1492,4,4902,0.004257917404174805,0.328125
117,50,2654,6,45516,0.03995800018310547,8.296875
117,75,3590,8,383392,0.3237619400024414,0.0
118,12,778,3,1380,0.0022962093353271484,0.0
118,25,1534,4,5366,0.004559040069580078,0.0
118,50,2699,6,42266,0.033972978591918945,0.0
118,75,3652,7,402103,0.33115577697753906,32.8125
119,12,794,3,1441,0.0023729801177978516,0.0
119,25,1544,4,5254,0.004454851150512695,0.0
119,50,2788,7,53120,0.0442051887512207,21.9375
119,75,3724,8,456709,0.3731961250305176,0.0
120,12,800,3,1472,0.002511739730834961,0.0
120,25,1571,4,5578,0.004819154739379883,0.0
