+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
|        18       |  50  |        76       |   25  | 4  |      True      |        11        | 1.3113021850585938e-05 |  0.0   |
|        18       |  50  |        76       |   50  | 9  |     False      |       453        | 7.700920104980469e-05  |  0.0   |
|        18       |  50  |        76       |   75  | 13 |     False      |       453        | 0.00013899803161621094 |  0.0   |
|        18       |  75  |       115       |   12  | 2  |      True      |        1         | 7.3909759521484375e-06 |  0.0   |
|        18       |  75  |       115       |   25  | 4  |      True      |        13        |   1.52587890625e-05    |  0.0   |
|        18       |  75  |       115       |   50  | 9  |     False      |       546        | 9.608268737792969e-05  |  0.0   |
|        18       |  75  |       115       |   75  | 13 |     False      |       546        | 0.0001742839813232422  |  0.0   |
|        19       | 12.5 |        21       |   12  | 2  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        19       | 12.5 |        21       |   25  | 4  |     False      |       383        | 5.412101745605469e-05  |  0.0   |
|        19       | 12.5 |        21       |   50  | 9  |     False      |       383        | 0.00010013580322265625 |  0.0   |
|        19       | 12.5 |        21       |   75  | 14 |     False      |       383        | 0.00014710426330566406 |  0.0   |
|        19       |  25  |        43       |   12  | 2  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        19       |  25  |        43       |   25  | 4  |     False      |       425        |  6.29425048828125e-05  |  0.0   |
|        19       |  25  |        43       |   50  | 9  |     False      |       425        | 0.0001201629638671875  |  0.0   |
|        19       |  25  |        43       |   75  | 14 |     False      |       425        | 0.00017499923706054688 |  0.0   |
|        19       |  50  |        86       |   12  | 2  |      True      |        1         | 6.198883056640625e-06  |  0.0   |
|        19       |  50  |        86       |   25  | 4  |      True      |        12        | 1.4066696166992188e-05 |  0.0   |
|        19       |  50  |        86       |   50  | 9  |     False      |       526        | 8.821487426757812e-05  |  0.0   |
|        19       |  50  |        86       |   75  | 14 |     False      |       526        | 0.00015997886657714844 |  0.0   |
|        19       |  75  |       128       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        19       |  75  |       128       |   25  | 4  |      True      |       106        | 2.6941299438476562e-05 |  0.0   |
|        19       |  75  |       128       |   50  | 9  |     False      |       593        | 0.00011396408081054688 |  0.0   |
|        19       |  75  |       128       |   75  | 14 |     False      |       593        | 0.00020003318786621094 |  0.0   |
|        20       | 12.5 |        24       |   12  | 2  |      True      |        1         | 6.198883056640625e-06  |  0.0   |
