+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |   Memory  |
|        19       |  25  |        43       |   50  | 9  |     False      |        71        |    6.103515625e-05     |    0.0    |
|        19       |  25  |        43       |   75  | 14 |     False      |        71        |  5.91278076171875e-05  |    0.0    |
|        19       |  50  |        86       |  12.5 | 2  |      True      |       162        | 0.00014591217041015625 |    0.0    |
|        19       |  50  |        86       |   25  | 4  |      True      |       162        | 0.00013589859008789062 |    0.0    |
|        19       |  50  |        86       |   50  | 9  |     False      |       162        | 0.00013303756713867188 |    0.0    |
|        19       |  50  |        86       |   75  | 14 |     False      |       162        | 0.00012993812561035156 |    0.0    |
|        19       |  75  |       128       |  12.5 | 2  |     False      |       225        | 0.00020194053649902344 |    0.0    |
|        19       |  75  |       128       |   25  | 4  |      True      |       225        | 0.00018787384033203125 |    0.0    |
|        19       |  75  |       128       |   50  | 9  |     False      |       225        | 0.00018525123596191406 |    0.0    |
|        19       |  75  |       128       |   75  | 14 |     False      |       225        | 0.0001819133758544922  |    0.0    |
|        20       | 12.5 |        24       |  12.5 | 2  |      True      |        45        | 4.601478576660156e-05  |    0.0    |
|        20       | 12.5 |        24       |   25  | 5  |     False      |        45        |  4.1961669921875e-05   |    0.0    |
|        20       | 12.5 |        24       |   50  | 10 |     False      |        45        |  4.00543212890625e-05  |    0.0    |
|        20       | 12.5 |        24       |   75  | 15 |     False      |        45        |  4.00543212890625e-05  |    0.0    |
|        20       |  25  |        48       |  12.5 | 2  |      True      |        76        | 7.200241088867188e-05  |    0.0    |
|        20       |  25  |        48       |   25  | 5  |     False      |        76        | 6.914138793945312e-05  |    0.0    |
|        20       |  25  |        48       |   50  | 10 |     False      |        76        | 6.580352783203125e-05  |    0.0    |
|        20       |  25  |        48       |   75  | 15 |     False      |        76        | 6.389617919921875e-05  |    0.0    |
|        20       |  50  |        95       |  12.5 | 2  |      True      |       132        | 0.0001239776611328125  |    0.0    |
|        20       |  50  |        95       |   25  | 5  |      True      |       132        | 0.00011801719665527344 |    0.0    |
|        20       |  50  |        95       |   50  | 10 |     False      |       132        | 0.00011396408081054688 |    0.0    |
|        20       |  50  |        95       |   75  | 15 |     False      |       132        | 0.00011110305786132812 |    0.0    |
|        20       |  75  |       142       |  12.5 | 2  |     False      |       295        | 0.0002570152282714844  |    0.0    |
|        20       |  75  |       142       |   25  | 5  |      True      |       295        | 0.00024390220642089844 |    0.0    |
|        20       |  75  |       142       |   50  | 10 |     False      |       295        | 0.00024199485778808594 |    0.0    |
|        20       |  75  |       142       |   75  | 15 |     False      |       295        | 0.0002372264862060547  |    0.0    |
|        21       | 12.5 |        26       |  12.5 | 2  |      True      |        48        | 4.792213439941406e-05  |    0.0    |
|        21       | 12.5 |        26       |   25  | 5  |     False      |        48        | 4.315376281738281e-05  |    0.0    |
|        21       | 12.5 |        26       |   50  | 10 |     False      |        48        | 4.076957702636719e-05  |    0.0    |
|        21       | 12.5 |        26       |   75  | 15 |     False      |        48        | 4.029273986816406e-05  |    0.0    |
|        21       |  25  |        52       |  12.5 | 2  |      True      |        80        | 7.605552673339844e-05  |    0.0    |
|        21       |  25  |        52       |   25  | 5  |     False      |        80        | 7.176399230957031e-05  |    0.0    |
|        21       |  25  |        52       |   50  | 10 |     False      |        80        | 6.914138793945312e-05  |    0.0    |
|        21       |  25  |        52       |   75  | 15 |     False      |        80        | 6.699562072753906e-05  |    0.0    |
|        21       |  50  |       105       |  12.5 | 2  |      True      |       154        | 0.0002589225769042969  |    0.0    |
|        21       |  50  |       105       |   25  | 5  |      True      |       154        | 0.00013899803161621094 |    0.0    |
|        21       |  50  |       105       |   50  | 10 |     False      |       154        | 0.0001289844512939453  |    0.0    |
|        21       |  50  |       105       |   75  | 15 |     False      |       154        |  0.000125885009765625  |    0.0    |
|        21       |  75  |       158       |  12.5 | 2  |     False      |       332        | 0.00028014183044433594 |    0.0    |
