+-----------------+----+-----------------+------------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |                 Cliques                  | Different k |          Time          |
|        45       | 25 |       220       |               [2, 3, 4, 5]               |      4      | 0.0006651878356933594  |
|        45       | 50 |       394       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0016291141510009766  |
|        45       | 75 |       533       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.003493785858154297  |
|        46       | 12 |       118       |               [2, 3, 4, 5]               |      4      | 0.0005331039428710938  |
|        46       | 25 |       232       |               [2, 3, 4, 5]               |      4      | 0.0007600784301757812  |
|        46       | 50 |       409       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0018961429595947266  |
|        46       | 75 |       546       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0036911964416503906  |
|        47       | 12 |       123       |               [2, 3, 4, 5]               |      4      | 0.0004711151123046875  |
|        47       | 25 |       240       |             [2, 3, 4, 5, 6]              |      5      |  0.001039266586303711  |
|        47       | 50 |       430       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0018918514251708984  |
|        47       | 75 |       565       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      | 0.0039370059967041016  |
|        48       | 12 |       131       |               [2, 3, 4, 5]               |      4      | 0.0005488395690917969  |
|        48       | 25 |       254       |             [2, 3, 4, 5, 6]              |      5      | 0.0008540153503417969  |
|        48       | 50 |       453       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0020227432250976562  |
|        48       | 75 |       597       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.003931999206542969  |
|        49       | 12 |       137       |               [2, 3, 4, 5]               |      4      | 0.0005879402160644531  |
|        49       | 25 |       267       |               [2, 3, 4, 5]               |      4      | 0.0009207725524902344  |
|        49       | 50 |       477       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.002191781997680664  |
|        49       | 75 |       643       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.004580020904541016  |
|        50       | 12 |       141       |               [2, 3, 4, 5]               |      4      | 0.0005252361297607422  |
|        50       | 25 |       268       |             [2, 3, 4, 5, 6]              |      5      |  0.001024007797241211  |
|        50       | 50 |       487       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0025408267974853516  |
|        50       | 75 |       647       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.005035877227783203  |
|        51       | 12 |       147       |               [2, 3, 4, 5]               |      4      | 0.0005419254302978516  |
|        51       | 25 |       286       |             [2, 3, 4, 5, 6]              |      5      | 0.0012290477752685547  |
|        51       | 50 |       511       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.002627134323120117  |
|        51       | 75 |       689       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      | 0.0057909488677978516  |
|        52       | 12 |       152       |               [2, 3, 4, 5]               |      4      | 0.0005791187286376953  |
|        52       | 25 |       295       |               [2, 3, 4, 5]               |      4      | 0.0010287761688232422  |
|        52       | 50 |       532       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.002962350845336914  |
|        52       | 75 |       706       |       [2, 3, 4, 5, 6, 7, 8, 9, 10]       |      9      |  0.006735801696777344  |
|        53       | 12 |       154       |               [2, 3, 4, 5]               |      4      | 0.0006537437438964844  |
|        53       | 25 |       295       |             [2, 3, 4, 5, 6]              |      5      | 0.0011107921600341797  |
|        53       | 50 |       549       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0028641223907470703  |
|        53       | 75 |       728       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.00633692741394043   |
|        54       | 12 |       160       |               [2, 3, 4, 5]               |      4      | 0.0007300376892089844  |
|        54       | 25 |       313       |             [2, 3, 4, 5, 6]              |      5      | 0.0011451244354248047  |
|        54       | 50 |       579       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0029401779174804688  |
|        54       | 75 |       772       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.007062196731567383  |
|        55       | 12 |       164       |               [2, 3, 4, 5]               |      4      | 0.0007460117340087891  |
|        55       | 25 |       322       |             [2, 3, 4, 5, 6]              |      5      | 0.0014181137084960938  |
|        55       | 50 |       593       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.002602100372314453  |
|        55       | 75 |       791       |     [2, 3, 4, 5, 6, 7, 8, 9, 10, 11]     |      10     | 0.0075321197509765625  |
|        56       | 12 |       174       |               [2, 3, 4, 5]               |      4      | 0.0007359981536865234  |
|        56       | 25 |       340       |               [2, 3, 4, 5]               |      4      | 0.0011610984802246094  |
|        56       | 50 |       615       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.003303050994873047  |
|        56       | 75 |       830       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.008043050765991211  |
|        57       | 12 |       181       |               [2, 3, 4, 5]               |      4      | 0.0007722377777099609  |
|        57       | 25 |       353       |             [2, 3, 4, 5, 6]              |      5      |  0.001360177993774414  |
|        57       | 50 |       639       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.003537893295288086  |
|        57       | 75 |       847       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.008130073547363281  |
|        58       | 12 |       189       |               [2, 3, 4, 5]               |      4      | 0.0008640289306640625  |
|        58       | 25 |       374       |             [2, 3, 4, 5, 6]              |      5      |  0.001415252685546875  |
|        58       | 50 |       662       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0035839080810546875  |
|        58       | 75 |       885       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.009620904922485352  |
|        59       | 12 |       195       |               [2, 3, 4, 5]               |      4      | 0.0007801055908203125  |
|        59       | 25 |       381       |               [2, 3, 4, 5]               |      4      | 0.0013370513916015625  |
|        59       | 50 |       674       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.003439188003540039  |
|        59       | 75 |       900       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.008616924285888672  |
|        60       | 12 |       204       |               [2, 3, 4, 5]               |      4      | 0.0007750988006591797  |
|        60       | 25 |       393       |             [2, 3, 4, 5, 6]              |      5      | 0.0015988349914550781  |
|        60       | 50 |       701       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.003956794738769531  |
|        60       | 75 |       928       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.009031057357788086  |
|        61       | 12 |       211       |               [2, 3, 4, 5]               |      4      | 0.0008451938629150391  |
|        61       | 25 |       403       |             [2, 3, 4, 5, 6]              |      5      | 0.0016007423400878906  |
|        61       | 50 |       722       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0038862228393554688  |
|        61       | 75 |       969       |       [2, 3, 4, 5, 6, 7, 8, 9, 10]       |      9      |  0.011289119720458984  |
|        62       | 12 |       216       |               [2, 3, 4, 5]               |      4      | 0.0008552074432373047  |
|        62       | 25 |       423       |             [2, 3, 4, 5, 6]              |      5      | 0.0017228126525878906  |
|        62       | 50 |       740       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.004034996032714844  |
|        62       | 75 |       1001      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.010621070861816406  |
|        63       | 12 |       222       |               [2, 3, 4, 5]               |      4      | 0.0011279582977294922  |
|        63       | 25 |       435       |             [2, 3, 4, 5, 6]              |      5      |   0.0019073486328125   |
|        63       | 50 |       765       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.00444793701171875   |
|        63       | 75 |       1027      |       [2, 3, 4, 5, 6, 7, 8, 9, 10]       |      9      |  0.012855052947998047  |
|        64       | 12 |       226       |               [2, 3, 4, 5]               |      4      | 0.0010018348693847656  |
|        64       | 25 |       448       |             [2, 3, 4, 5, 6]              |      5      | 0.0020990371704101562  |
|        64       | 50 |       792       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.004427909851074219  |
|        64       | 75 |       1061      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.01265716552734375   |
|        65       | 12 |       235       |               [2, 3, 4, 5]               |      4      |  0.000993967056274414  |
|        65       | 25 |       458       |             [2, 3, 4, 5, 6]              |      5      | 0.0020401477813720703  |
|        65       | 50 |       820       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.005207061767578125  |
|        65       | 75 |       1112      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.015538215637207031  |
|        66       | 12 |       243       |               [2, 3, 4, 5]               |      4      | 0.0010480880737304688  |
|        66       | 25 |       473       |             [2, 3, 4, 5, 6]              |      5      |  0.00214385986328125   |
|        66       | 50 |       847       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.005621910095214844  |
|        66       | 75 |       1141      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.014569997787475586  |
|        67       | 12 |       251       |               [2, 3, 4, 5]               |      4      |  0.00096893310546875   |
|        67       | 25 |       486       |             [2, 3, 4, 5, 6]              |      5      | 0.0021038055419921875  |
|        67       | 50 |       868       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0054509639739990234  |
|        67       | 75 |       1178      |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.01580023765563965   |
|        68       | 12 |       257       |               [2, 3, 4, 5]               |      4      | 0.0009849071502685547  |
|        68       | 25 |       496       |             [2, 3, 4, 5, 6]              |      5      |  0.002068042755126953  |
|        68       | 50 |       881       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.005349874496459961  |
