+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |              Cliques               | Different k |          Time          |
|        74       | 75 |       1416      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.02121901512145996   |
|        75       | 12 |       319       |             [2, 3, 4]              |      3      | 0.0005049705505371094  |
|        75       | 25 |       623       |            [2, 3, 4, 5]            |      4      | 0.0014960765838623047  |
|        75       | 50 |       1085      |          [3, 4, 5, 6, 7]           |      5      | 0.0058498382568359375  |
|        75       | 75 |       1465      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.02228093147277832   |
|        76       | 12 |       321       |             [2, 3, 4]              |      3      | 0.0005087852478027344  |
|        76       | 25 |       635       |            [2, 3, 4, 5]            |      4      | 0.0014770030975341797  |
|        76       | 50 |       1125      |          [3, 4, 5, 6, 7]           |      5      |  0.006143093109130859  |
|        76       | 75 |       1506      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.02358412742614746   |
|        77       | 12 |       328       |             [2, 3, 4]              |      3      | 0.0005323886871337891  |
|        77       | 25 |       653       |          [2, 3, 4, 5, 6]           |      5      | 0.0015211105346679688  |
|        77       | 50 |       1160      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.00646209716796875   |
|        77       | 75 |       1540      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.02326202392578125   |
|        78       | 12 |       342       |             [2, 3, 4]              |      3      | 0.0005812644958496094  |
|        78       | 25 |       668       |            [2, 3, 4, 5]            |      4      | 0.0016238689422607422  |
|        78       | 50 |       1176      |          [3, 4, 5, 6, 7]           |      5      |  0.006739139556884766  |
|        78       | 75 |       1593      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.028534889221191406  |
|        79       | 12 |       351       |             [2, 3, 4]              |      3      | 0.0005819797515869141  |
|        79       | 25 |       683       |            [2, 3, 4, 5]            |      4      |  0.00162506103515625   |
|        79       | 50 |       1201      |          [3, 4, 5, 6, 7]           |      5      | 0.0073642730712890625  |
|        79       | 75 |       1599      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.025661945343017578  |
|        80       | 12 |       359       |            [2, 3, 4, 5]            |      4      | 0.0006799697875976562  |
|        80       | 25 |       700       |            [2, 3, 4, 5]            |      4      | 0.0018801689147949219  |
|        80       | 50 |       1241      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.007826805114746094  |
|        80       | 75 |       1647      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.028897762298583984  |
|        81       | 12 |       367       |            [2, 3, 4, 5]            |      4      | 0.0006511211395263672  |
|        81       | 25 |       712       |          [2, 3, 4, 5, 6]           |      5      | 0.0018339157104492188  |
|        81       | 50 |       1256      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.007565021514892578  |
